제품명,C-Code
유한짓정100mgYuhanzid Tab. 100mg,K-000040
후라시닐정Flasinyl Tab.,K-000066
마이암부톨제피정400mgMyambutol Tab. 400mg,K-000080
앰씰린캡슐250mgAmcillin Cap. 250mg,K-000105
셉트린정Septrin Tab.,K-000114
탐부톨정400mg(수출용)Tambutol Tab. 400mg(for export),K-000230
씬지로이드정0.1mgSynthyroid Tab. 0.1mg,K-000257
에이씰린캡슐250mgA-Cillin Cap. 250mg,K-000304
후시딘정Fucidin Tab. 250mg,K-000400
유한피라진아미드정250mgPyrazinamide Tab. 250mg Yuhan,K-000465
일동아목시실린수화물캡슐250mgAmoxicillin Cap. 250mg Ildong,K-000608
메가세프캡슐250mgMegacef Cap. 250mg,K-000646
메가세프캡슐500mgMegacef Cap. 500mg,K-000647
곰실린캡슐Gomcillin Cap. 500mg,K-000653
대웅세파록실캡슐Cefaroxil Cap. DaeWoong,K-000748
유로세프캡슐500mgUrocef Cap. 500mg,K-000774
리포덱스정600mgRifodex Tab. 600mg,K-000817
리포덱스정300mgRifodex Tab. 300mg,K-000818
트리세프캡슐Tricef Cap. 250mg,K-000954
리팜핀정600mgRifampin Tab. 600mg,K-001027
오구멘틴정375mgAugmentin Tab. 375mg,K-001516
에세푸릴캡슐Ercefuryl Cap.,K-001527
제텐씨정Zeten C Tab.,K-001570
신풍세프라딘캡슐250mgCefradine Cap. 250mg Shinpoong,K-001612
파목신캡슐250mgPamoxin Cap. 250mg,K-001670
한미세프라딘캡슐500mgCefradine Cap. 500mg Hanmi,K-001745
아졸정Azol Tab.,K-001756
카멕스캡슐Camex Cap.,K-001822
프로딘정500mg(수출용)Prodin Tab. 500mg,K-001848
피케이멜즈정P.K-Merz Tab.,K-002005
자비론정Zaviron Tab.,K-002031
소아용루리드정50mgRulid Pediatric Tab 50mg,K-002236
사이톱신정Citopcin Tab.,K-002265
스메르정Smer Tab.,K-002536
아론정Aron Tab.,K-002691
옥시크로린정100mgOxiklorin Tab. 100mg,K-002857
일동아목시실린수화물캡슐500mgAmoxicillin Cap. 500mg Ildong,K-002896
싸이신정250mgCycin Tab. 250mg,K-002943
싸이신정500mgCycin Tab. 500mg,K-002944
씨록정500mgCirok Tab. 500mg,K-003104
시로판정Ciropan Tab.,K-003137
