제품명,C-Code,제품명_norm
유한짓정100mgYuhanzid Tab. 100mg,K-000040,유한짓정100mgyuhanzid tab. 100mg
후라시닐정Flasinyl Tab.,K-000066,후라시닐정flasinyl tab.
마이암부톨제피정400mgMyambutol Tab. 400mg,K-000080,마이암부톨제피정400mgmyambutol tab. 400mg
앰씰린캡슐250mgAmcillin Cap. 250mg,K-000105,앰씰린캡슐250mgamcillin cap. 250mg
셉트린정Septrin Tab.,K-000114,셉트린정septrin tab.
탐부톨정400mg(수출용)Tambutol Tab. 400mg(for export),K-000230,탐부톨정400mg(수출용)tambutol tab. 400mg(for export)
씬지로이드정0.1mgSynthyroid Tab. 0.1mg,K-000257,씬지로이드정0.1mgsynthyroid tab. 0.1mg
에이씰린캡슐250mgA-Cillin Cap. 250mg,K-000304,에이씰린캡슐250mga-cillin cap. 250mg
후시딘정Fucidin Tab. 250mg,K-000400,후시딘정fucidin tab. 250mg
유한피라진아미드정250mgPyrazinamide Tab. 250mg Yuhan,K-000465,유한피라진아미드정250mgpyrazinamide tab. 250mg yuhan
일동아목시실린수화물캡슐250mgAmoxicillin Cap. 250mg Ildong,K-000608,일동아목시실린수화물캡슐250mgamoxicillin cap. 250mg ildong
메가세프캡슐250mgMegacef Cap. 250mg,K-000646,메가세프캡슐250mgmegacef cap. 250mg
메가세프캡슐500mgMegacef Cap. 500mg,K-000647,메가세프캡슐500mgmegacef cap. 500mg
곰실린캡슐Gomcillin Cap. 500mg,K-000653,곰실린캡슐gomcillin cap. 500mg
대웅세파록실캡슐Cefaroxil Cap. DaeWoong,K-000748,대웅세파록실캡슐cefaroxil cap. daewoong
유로세프캡슐500mgUrocef Cap. 500mg,K-000774,유로세프캡슐500mgurocef cap. 500mg
리포덱스정600mgRifodex Tab. 600mg,K-000817,리포덱스정600mgrifodex tab. 600mg
리포덱스정300mgRifodex Tab. 300mg,K-000818,리포덱스정300mgrifodex tab. 300mg
트리세프캡슐Tricef Cap. 250mg,K-000954,트리세프캡슐tricef cap. 250mg
리팜핀정600mgRifampin Tab. 600mg,K-001027,리팜핀정600mgrifampin tab. 600mg
오구멘틴정375mgAugmentin Tab. 375mg,K-001516,오구멘틴정375mgaugmentin tab. 375mg
에세푸릴캡슐Ercefuryl Cap.,K-001527,에세푸릴캡슐ercefuryl cap.
제텐씨정Zeten C Tab.,K-001570,제텐씨정zeten c tab.
신풍세프라딘캡슐250mgCefradine Cap. 250mg Shinpoong,K-001612,신풍세프라딘캡슐250mgcefradine cap. 250mg shinpoong
파목신캡슐250mgPamoxin Cap. 250mg,K-001670,파목신캡슐250mgpamoxin cap. 250mg
한미세프라딘캡슐500mgCefradine Cap. 500mg Hanmi,K-001745,한미세프라딘캡슐500mgcefradine cap. 500mg hanmi
아졸정Azol Tab.,K-001756,아졸정azol tab.
카멕스캡슐Camex Cap.,K-001822,카멕스캡슐camex cap.
프로딘정500mg(수출용)Prodin Tab. 500mg,K-001848,프로딘정500mg(수출용)prodin tab. 500mg
피케이멜즈정P.K-Merz Tab.,K-002005,피케이멜즈정p.k-merz tab.
자비론정Zaviron Tab.,K-002031,자비론정zaviron tab.
소아용루리드정50mgRulid Pediatric Tab 50mg,K-002236,소아용루리드정50mgrulid pediatric tab 50mg
사이톱신정Citopcin Tab.,K-002265,사이톱신정citopcin tab.
스메르정Smer Tab.,K-002536,스메르정smer tab.
