class_id,k_code,product_name
0,K-039148,듀카브정60/5밀리그램
1,K-039167,하이소린정 2mg
2,K-039168,베아로탄플러스정
3,K-039169,베아로탄플러스프로정
4,K-039170,베아로탄플러스에프정
5,K-039184,넥스디핀정2.5mg
6,K-039201,셀트리온레보플록사신정 100mg
7,K-039208,트란시노2정 187.5mg/PTP
8,K-039236,엑세타민연질캡슐 20mg/포
9,K-039248,덴티골드캡슐 150mg/PTP
10,K-039262,울트란세미정
11,K-039266,셀룬정 200mg/병
12,K-039272,레바렉정
13,K-039293,젠빅플러스연질캡슐 500mg/PTP
14,K-039306,탐루신디서방정
15,K-039320,뉴암로디프정5밀리그램
16,K-039325,스카드비정
17,K-039337,크레진정 5mg
18,K-039338,크레진정 10mg
19,K-039346,비보존탐스로신서방정 0.2mg
20,K-039362,아사톱장용정 100mg
21,K-039393,로수바틴정 5mg
22,K-039478,크레로스정 10mg
23,K-039494,프릴린캡슐 75mg
24,K-039504,알푸론정
25,K-039513,넥리카캡슐 75mg
26,K-039550,디오브이정 80mg
27,K-039555,아드에스정
28,K-039559,프레가스타캡슐 75mg
29,K-039560,프레가스타캡슐 150mg
30,K-039568,프가바린캡슐 75mg
31,K-039579,자니엠정
32,K-039588,라이트레바정
33,K-039610,디오브이플러스정 80/12.5mg
34,K-039633,알러엔연질캡슐 10mg/PTP
35,K-039659,록스바정 5mg
36,K-039703,헤파텍트캡슐
37,K-039727,마이페노캡슐
38,K-039742,레미스타정
39,K-039746,칸데암로정 16/5mg
40,K-039747,칸데암로정 8/5mg
41,K-039759,암로텐션에스정
42,K-039768,리세즈정150mg
43,K-039793,시알정20mg/PTP
44,K-039859,아겐에프연질캡슐
45,K-039868,아스라스정
46,K-039876,크레로스정 5mg
47,K-039885,하노마린350연질캡슐
48,K-039889,가스티인씨알정(모사프리드시트르산염수화물)
49,K-039893,포스넬엠정
50,K-039908,이토칸정 50mg
51,K-039912,뉴셀렌연질캡슐 500mg/PTP
52,K-039933,크레토정 5mg
53,K-039934,로페리놀에스캡슐 100mg/PTP
54,K-039985,렉센엔캡슐 300mg/PTP
55,K-039992,셀스틴정
56,K-039998,유로케어정 5mg
57,K-040017,대웅몬테루카스트츄정 4mg
58,K-040020,마그투연질캡슐 500mg/PTP
59,K-040049,아르테정
60,K-040088,이연프로피베린정 10mg
61,K-040098,칸타벨정 8/5mg
62,K-040100,칸타벨정 16/5mg
63,K-040110,베포원정 10mg
64,K-040112,펜싹코연질캡슐 180mg/PTP
65,K-040119,씬지록신정 150mcg
66,K-040128,알카포네정
67,K-040132,토비콤골드정 206.2mg/병
68,K-040144,애드본알정
69,K-040148,세레포린정
70,K-040163,나이스콜드연질캡슐 325mg/PTP
71,K-040221,프리번정 124.9mg/병
72,K-040248,렘피드캡슐(에르도스테인)
73,K-040264,리치큐정
74,K-040277,타겐에프정
75,K-040325,알두스캡슐
76,K-040326,바로코민골드정 60mg/PTP
77,K-040330,유니로바정 5mg
78,K-040332,투베로정60/10밀리그램
79,K-040340,빔스크정 150mg
80,K-040359,칼니틴정 330mg/PTP
81,K-040375,비맥스액티브정 50mcg/병
82,K-040379,기가제로연질캡슐 125mg/PTP
83,K-040419,피엠에스프레가발린캡슐 75mg
84,K-040424,맥스디스정
85,K-040434,히트펜정 25mg/병
86,K-040501,텔미스탄정40/5밀리그램
87,K-040519,트윈콤비정 80/5mg
88,K-040524,트윈포지정 80/5mg
89,K-040543,엘카르닌정 330mg/PTP
90,K-040550,베시캄정 5mg
91,K-040558,스티젠정
92,K-040598,티지페논정(페노피브레이트콜린)
93,K-040599,큐엔디1000연질캡슐 10mg/PTP
94,K-040601,파인싹연질캡슐 125mg/PTP
95,K-040618,헤토마신캡슐 522.5mg/PTP
96,K-040657,트윈포지정 40/5mg
97,K-040677,투와이스플러스연질캡슐 500mg/PTP
98,K-040680,오늘비타더블골드정 100mg/병
99,K-040682,마미센스정 125mg/PTP
100,K-040697,모아타민골드비백정 50mg/병
101,K-040728,엘메이드정 200mg/병
102,K-040733,비알세티정
103,K-040781,마그텐연질캡슐 500mg/PTP
104,K-040790,콜키닌정(콜키신)
105,K-040811,프로부틴정
106,K-040813,동성에르도스테인캡슐(에르도스테인)
107,K-040823,액티나민플러스정 600mg/병
108,K-040828,로수타틴정 5mg
109,K-040832,비오틴골드정5mg/PTP
110,K-040848,액티넘이엑스골드정 36.39mg/병
111,K-040854,크램스탑연질캡슐 500mg/PTP
112,K-040939,리필펜캡슐 160mg
113,K-040940,베아타제정 20mg/PTP
114,K-040985,마그포스감마연질캡슐 500mg/PTP
115,K-041015,마그온연질캡슐 250mg/PTP
116,K-041048,에르테인캡슐 (에르도스테인)
117,K-041074,세다큐코프연질캡슐 180mg/PTP
118,K-041075,세다큐콜드연질캡슐 180mg/PTP
119,K-041076,세다큐노즈연질캡슐 180mg/PTP
120,K-041077,혈앤보알파연질캡슐 500mg/PTP
121,K-041078,피엠에스로수바스타틴정 10mg
122,K-041080,피엠에스로수바스타틴정 5mg
123,K-041085,뉴바민정
124,K-041092,모아헬드원정 10mg/병
125,K-041102,유니도스캡슐(에르도스테인)
126,K-041117,솔페신정 10mg
127,K-041118,솔페신정 5mg
128,K-041140,썬팩타민연질캡슐 5mg/병
129,K-041184,노바넬정 5mg
130,K-041185,위엔탑정 40mg/PTP
131,K-041187,치아탄캡슐 30mg/PTP
132,K-041191,타넥신정
133,K-041206,마이메가100정 108.7mg/병
134,K-041221,네오빅스정
135,K-041228,에스메프졸정20밀리그램
136,K-041247,엘도프로정
137,K-041261,에뜨비정 15mg/병
138,K-041265,베노스타신캡슐 50mg/PTP
139,K-041268,엘비타정 15mg/병
140,K-041269,판토시딜캡슐 100mg/PTP
141,K-041273,임팩타민케어정 125mg/병
142,K-041274,부티렌정
143,K-041286,셀레지온정
144,K-041295,건일몬테루카스트츄정 5mg
145,K-041299,건일몬테루카스트츄정 4mg
146,K-041304,슈락스골드장용정 5mg/PTP
147,K-041305,원기쏘플러스정 20mg/병
148,K-041319,아라진정
149,K-041320,아토르스타정 10mg
150,K-041329,치센캡슐 300mg/PTP
151,K-041341,에제스롤정
152,K-041344,조인파워연질캡슐 300mg/PTP
153,K-041367,트리레보정 200/50/200mg
154,K-041368,트리레보정 150/37.5/200mg
155,K-041372,유로가바캡슐 75mg
156,K-041373,판텍큐노즈연질캡슐 180mg/PTP
157,K-041374,판텍큐연질캡슐 180mg/PTP
158,K-041375,판텍큐코프연질캡슐 180mg/PTP
159,K-041393,메가디쓰리정25000IU 250mg/PTP
160,K-041413,건일몬테루카스트정 10mg
161,K-041427,아토르스타정 20mg
162,K-041490,리피크린정 10mg
163,K-041494,에르도민캡슐(에르도스테인)
164,K-041495,센테라정 30mg/PTP
165,K-041505,툴코맥스장용연질캡슐 20mg/PTP
166,K-041508,광동아스피린장용정 100mg
167,K-041522,솔리나신정 5mg
168,K-041523,솔리나신정 10mg
169,K-041528,유파티렌정
170,K-041543,코르포지정 5/160mg
171,K-041544,코르포지정 5/80mg
172,K-041547,로스바탄정 5mg
173,K-041549,크레스바정 5mg
174,K-041553,레리카캡슐 75mg
175,K-041571,코르포지정 10/160mg
176,K-041593,리리베아캡슐 75mg
177,K-041594,리리베아캡슐 150mg
178,K-041600,제클러캡슐 250mg
179,K-041617,아르닉정 200mg/병
180,K-041619,루파핀정(루파타딘푸마르산염)
181,K-041642,누비질정 250mg
182,K-041646,이브터치연질캡슐 400mg/PTP
183,K-041676,몬테리진캡슐
184,K-041693,투게논정 5/8mg
185,K-041696,베믈리디정(테노포비르알라페나미드푸마르산염)
186,K-041705,영비원정 100mg/병
187,K-041726,제이로수정 5mg
188,K-041727,제이로수정 10mg
189,K-041739,센글라정50mg 70.23mg/PTP
190,K-041744,록셀정 150mg
191,K-041751,이달비정 80mg
192,K-041752,이달비정 40mg
193,K-041767,카발린캡슐 50mg
194,K-041768,카발린캡슐 25mg
195,K-041772,킥센연질캡슐 250mg/PTP
196,K-041787,록소리펜정
197,K-041788,파나신캡슐 0.67g/PTP
198,K-041792,유한엔플루캡슐 30mg
199,K-041793,유한엔플루캡슐 45mg
200,K-041799,동광로수바스타틴칼슘정5mg
201,K-041800,베포캄정
202,K-041804,쿠에타핀정12.5밀리그램(쿠에티아핀푸마르산염)
203,K-041809,디카본100정
204,K-041854,센탈라정 30mg/PTP
205,K-041858,모바렌캡슐 100mg/PTP
206,K-041877,암로사정 5mg
207,K-041878,레피드정
208,K-041898,브로카민정
209,K-041910,셀시고정
210,K-041921,케이로틴정 5mg
211,K-041928,본디칼플러스정
212,K-041957,베포스타비정
213,K-041968,나프딜정 75mg
214,K-041977,레이본정
215,K-041989,투엑스비엠연질캡슐 500mg/PTP
216,K-041991,나토딜정 75mg
217,K-041992,유로피딜정 75mg
218,K-041993,솔루샷노즈연질캡슐 200mg/PTP
219,K-041994,솔루샷코프연질캡슐 200mg/PTP
220,K-042004,아세틴캡슐
221,K-042009,셀리온정 10mg
222,K-042019,앤티팻정 330mg/PTP
223,K-042021,투리온정(베포타스틴베실산염)
224,K-042035,벤포벨브이정 100mg/병
225,K-042040,아모잘탄큐정 5/100/10mg
226,K-042042,아모잘탄큐정 5/100/20mg
227,K-042043,아모잘탄큐정 5/100/5mg
228,K-042067,뮤코미피드정
229,K-042072,가벨린정 150mg
230,K-042073,가벨린정 75mg
231,K-042098,아목시스캡슐 500mg
232,K-042099,나프바스정 75mg
233,K-042103,씬지록신정 75mcg
234,K-042107,위소탈정 40mg/PTP
235,K-042108,나스타정 75mg
236,K-042111,센실라정 30mg/PTP
237,K-042130,코메키나캡슐 25mg/PTP
238,K-042139,가나플럭스정 20/1100mg
239,K-042154,센스데이정 0.15mg/PTP
240,K-042169,뉴리카캡슐 300mg
241,K-042174,콘파워600정 600mg/병
242,K-042186,로수메가연질캡슐
243,K-042194,알바트정
244,K-042208,큐덱시서방캡슐 25mg
245,K-042211,마그엠정
246,K-042220,비리얼정
247,K-042247,엘트라셋세미정
248,K-042248,환인메만틴오디정 5mg
249,K-042249,환인메만틴오디정 10mg
250,K-042268,이알펜8시간서방정
251,K-042273,킥콜드에프연질캡슐 200mg/PTP
252,K-042274,킥코프에프연질캡슐 200mg/PTP
253,K-042275,킥노즈에프연질캡슐 200mg/PTP
254,K-042278,징코에프정 80mg
255,K-042286,칼브록정 5mg
256,K-042289,마그비액티브정 300mg/병
257,K-042303,하이베포정 10mg
258,K-042318,알코타민정 100mg/병
259,K-042324,펠로디온지속정 5mg
260,K-042325,로수넥스정 5mg
261,K-042331,알마펜정
262,K-042339,베아리온정 10mg
263,K-042342,에코파워600정 600mg/병
264,K-042345,디멘콜린정
265,K-042386,속크린에스정 312.5mg/PTP
266,K-042404,메가비액티브정 100mg/병
267,K-042406,유앤디캡슐
268,K-042421,아셀리온캡슐 100mg
269,K-042457,이스탄캡슐(에르도스테인)
270,K-042472,메모티린정
271,K-042474,레티룩스정
272,K-042484,도베셀정 500mg
273,K-042500,베포텐정 10mg
274,K-042514,프리엔에프연질캡슐 250mg/PTP
275,K-042519,타미스펜8시간이알서방정
276,K-042573,나스타제정 30mg/병
277,K-042584,에스진정 237.5mg/병
278,K-042589,이브더블샷연질캡슐 400mg/PTP
279,K-042594,크로스틴정 20mg
280,K-042595,크로스틴정 5mg
281,K-042617,휴맥톤정 40mg
282,K-042623,세레탈정 50mg
283,K-042625,셀카민정
284,K-042662,네비스톨정1.25밀리그램(네비보롤염산염)
285,K-042677,로수민정 5mg
286,K-042678,로수민정 10mg
287,K-042699,폴비정 250mg/병
288,K-042727,프로록소정
289,K-042732,엑스코프에이연질캡슐 37.5mg/PTP
290,K-042736,프리미엄미네코다정 470mg/병
291,K-042757,클로맥스연질캡슐 125mg/PTP
292,K-042770,마그네비정 331.58mg/병
293,K-042780,이브엔연질캡슐 400mg/PTP
294,K-042783,하이브릭정 80mg
295,K-042787,레보콜정
296,K-042790,티모딕정 100mg
297,K-042831,가스모틴에스알정(모사프리드시트르산염수화물)
298,K-042854,머슬펜정 300mg/PTP
299,K-042980,리피크린정 20mg
300,K-042999,디만틴정 5mg
301,K-043020,헤파톡시온정 100mg/병
302,K-043048,뉴로콜린정
303,K-043065,푸로싹연질캡슐 250mg/PTP
304,K-043067,글리트정
305,K-043068,바이코민정 33.33mg/병
306,K-043079,빅파워비타연질캡슐 20mg/포
307,K-043083,노텐션정 2.5mg
308,K-043103,메가비텐정 103.1mg/병
309,K-043104,쎈비백정 100mg/병
310,K-043111,스르텍연질캡슐10mg/PTP
311,K-043113,치스민캡슐 300mg/PTP
312,K-043132,비오딜정5mg
313,K-043144,프리에스연질캡슐 125mg/PTP
314,K-043149,오구맥정375밀리그램
315,K-043165,디아셀캡슐 50mg
316,K-043192,아로나민이맥스플러스정 200mg/병
317,K-043218,현대프레가발린정 75mg
318,K-043233,바이오탑디캡슐 50mg/병
319,K-043273,벤포바이타액티브정 100mg/병
320,K-043277,로수반정 20mg
321,K-043278,아날라프연질캡슐 250mg/PTP
322,K-043280,락스타캡슐(락토바실루스카제이변종람노수스)
323,K-043292,가바메드캡슐 150mg
324,K-043293,가바메드캡슐 75mg
325,K-043320,로나펜정
326,K-043323,엘소펜정60밀리그램
327,K-043334,에이프로젠로수바스타틴칼슘정 5mg
328,K-043343,콜린포스정 400mg
329,K-043345,이소프트캡슐 150mg/PTP
330,K-043349,유가인정 40mg
331,K-043376,콘티플러스연질캡슐 300mg/PTP
332,K-043383,리리카캡슐 25mg
333,K-043384,리리카캡슐 50mg
334,K-043398,나스타정 50mg
335,K-043432,셀로파정 5mg
336,K-043441,훼리큐캡슐 326.1mg/PTP
337,K-043444,엘부틴정(트리메부틴말레산염)
338,K-043450,젠스펜정
339,K-043460,템페라연질캡슐 500mg/PTP
340,K-043468,빅조인에프정 600mg/병
341,K-043471,엘카틸정 330mg/PTP
342,K-043476,리버만프리미엄연질캡슐 350mg/PTP
343,K-043506,웰마코연질캡슐
344,K-043508,에스슬림정 556.7mg/병
345,K-043511,보령니트로푸란토인캡슐 50mg/병
346,K-043513,스토마큐정 650mg/PTP
347,K-043536,가네리버연질캡슐 350mg
348,K-043537,이니바실루스캡슐
349,K-043544,액티진정 100mg/병
350,K-043545,뉴스피린장용정 100mg
351,K-043586,바토루스캡슐(바실루스니케니포르미스균)
352,K-043623,일양바이오알벤다졸정 400mg/PTP
353,K-043647,뮤트린캡슐 200mg
354,K-043672,디디셀정
355,K-043696,엘타인캡슐(에르도스테인)
356,K-043703,엑쎈코연질캡슐 200mg/PTP
357,K-043710,브레인플러스정 100mg/PTP (수출용)
358,K-043755,로피타정 2mg
359,K-043761,오마티지연질캡슐
360,K-043762,이니알론정 200mg/병
361,K-043768,아로노바정 5mg
362,K-043772,에르도캡슐 300mg
363,K-043790,징코빌라정 80mg
364,K-043793,비맥스비비정 25mg/병
365,K-043799,리액타민연질캡슐 50mg/PTP
366,K-043800,엑쎈콜연질캡슐 200mg/PTP
367,K-043810,헬씨닉정 200mg/병
368,K-043847,레일론정
369,K-043860,바실리스캡슐(바실루스리케니포르미스균)
370,K-043885,프레가린캡슐 50mg
371,K-043887,피타론정
372,K-043900,투윈방풍통성산정 237.5mg/병
373,K-043903,페미로살정 10mg
374,K-043911,살사라인정 133.3mg/병
375,K-043949,프레가린캡슐 25mg
376,K-043998,캐롤비코프연질캡슐 180mg/PTP
377,K-043999,캐롤비노즈연질캡슐 180mg/PTP
378,K-044004,록소포펜정
379,K-044013,로스테인캡슐
380,K-044065,페노코린캡슐
381,K-044068,휴텍스아스피린장용정 100mg
382,K-044075,로수메트서방정 10/750mg
383,K-044076,로수메트서방정 5/750mg
384,K-044077,로수메트서방정 5/500mg
385,K-044118,에르덱스캡슐(에르도스테인)
386,K-044122,베포타온정
387,K-044126,캐롤비콜드연질캡슐 180mg/PTP
388,K-044127,뉴슈바틴정 5mg
389,K-044132,루루카캡슐 75mg
390,K-044145,콜민코연질캡슐 200mg/PTP
391,K-044150,락비오캡슐
392,K-044171,본탑600골드정 600mg/병
393,K-044199,케이캡정 50mg
394,K-044203,엑티본연질캡슐 1mg/PTP
395,K-044214,앤틱스캡슐(포도엽건조엑스)
396,K-044215,둘코라인정 500mg/병
397,K-044223,알마스정
398,K-044231,콜리아센리드캡슐
399,K-044238,다모다트정 0.5mg
400,K-044260,이지엔6에이스연질캡슐 325mg
401,K-044266,바이오탑하이캡슐 150mg/병
402,K-044288,레토르정 2mg
403,K-044301,신콜에프연질캡슐 200mg/PTP
404,K-044312,제이그렐정(클로피도그렐황산염)
405,K-044322,레토르정 4mg
406,K-044330,베포스타서방정(베포타스틴살리실산염)
407,K-044334,대웅바이오아스피린장용정 100mg
408,K-044361,쎄스콘미니정 0.15mg/PTP
409,K-044363,로수반정 5mg
410,K-044383,제일알지싹로라연질캡슐 10mg/PTP
411,K-044384,이달비클로정 40/12.5mg
412,K-044385,이달비클로정 40/25mg
413,K-044397,제일알지싹세티연질캡슐 10mg/PTP
414,K-044404,헤파코엔정 103.1mg/병
415,K-044409,마이티셋세미정
416,K-044437,알테렌정
417,K-044446,스테글라트로정 5mg
418,K-044448,이브원큐연질캡슐 200mg/PTP
419,K-044451,니코버정0.5mg 0.825mg/PTP
420,K-044469,마더스아스피린장용정 100mg
