image_path,k_code,product_name,class_id,split
C:\project_sep\data\single_folder\K-040599_0_2_1_2_75_340_200.png,K-040599,큐엔디1000연질캡슐 10mg/PTP,93,train
C:\project_sep\data\single_folder\K-044528_0_2_0_2_70_000_200.png,K-044528,로수암핀정 10/5mg,425,train
C:\project_sep\data\single_folder\K-042278_0_0_0_1_90_260_200.png,K-042278,징코에프정 80mg,254,train
C:\project_sep\data\single_folder\K-042274_0_2_0_1_70_020_200.png,K-042274,킥코프에프연질캡슐 200mg/PTP,252,train
C:\project_sep\data\single_folder\K-042573_0_2_1_1_75_060_200.png,K-042573,나스타제정 30mg/병,276,train
C:\project_sep\data\single_folder\K-042584_0_0_0_2_75_200_200.png,K-042584,에스진정 237.5mg/병,277,train
C:\project_sep\data\single_folder\K-041273_0_0_0_1_75_340_200.png,K-041273,임팩타민케어정 125mg/병,141,train
C:\project_sep\data\single_folder\K-042154_0_1_0_0_60_260_200.png,K-042154,센스데이정 0.15mg/PTP,239,train
C:\project_sep\data\single_folder\K-043065_0_2_1_1_70_000_200.png,K-043065,푸로싹연질캡슐 250mg/PTP,303,train
C:\project_sep\data\single_folder\K-039727_0_2_1_2_75_240_200.png,K-039727,마이페노캡슐,37,train
C:\project_sep\data\single_folder\K-044334_0_2_0_0_90_220_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-040790_0_0_0_1_90_300_200.png,K-040790,콜키닌정(콜키신),104,train
C:\project_sep\data\single_folder\K-045015_0_2_0_1_90_300_200.png,K-045015,본디콜정,474,train
C:\project_sep\data\single_folder\K-042154_0_1_1_1_75_340_200.png,K-042154,센스데이정 0.15mg/PTP,239,train
C:\project_sep\data\single_folder\K-042854_0_0_0_2_90_040_200.png,K-042854,머슬펜정 300mg/PTP,298,train
C:\project_sep\data\single_folder\K-042732_0_2_0_0_70_260_200.png,K-042732,엑스코프에이연질캡슐 37.5mg/PTP,289,train
C:\project_sep\data\single_folder\K-040100_0_1_1_2_75_040_200.png,K-040100,칸타벨정 16/5mg,62,train
C:\project_sep\data\single_folder\K-041878_0_0_1_0_75_180_200.png,K-041878,레피드정,207,train
C:\project_sep\data\single_folder\K-044754_0_0_0_0_75_040_200.png,K-044754,클자핀정 50mg,454,train
C:\project_sep\data\single_folder\K-045255_0_2_0_0_90_100_200.png,K-045255,로멜트립정 40mg/PTP,495,train
C:\project_sep\data\single_folder\K-040848_0_2_1_2_75_280_200.png,K-040848,액티넘이엑스골드정 36.39mg/병,110,train
C:\project_sep\data\single_folder\K-044727_0_2_0_0_90_200_200.png,K-044727,애드본비정,450,train
C:\project_sep\data\single_folder\K-043320_0_0_1_2_90_000_200.png,K-043320,로나펜정,325,train
C:\project_sep\data\single_folder\K-042072_0_0_1_2_90_320_200.png,K-042072,가벨린정 150mg,229,train
C:\project_sep\data\single_folder\K-041617_0_0_1_0_75_280_200.png,K-041617,아르닉정 200mg/병,179,train
C:\project_sep\data\single_folder\K-044075_0_0_1_2_90_320_200.png,K-044075,로수메트서방정 10/750mg,382,train
C:\project_sep\data\single_folder\K-041787_0_0_1_0_75_300_200.png,K-041787,록소리펜정,196,train
C:\project_sep\data\single_folder\K-044122_0_0_1_0_90_240_200.png,K-044122,베포타온정,386,train
C:\project_sep\data\single_folder\K-043104_0_0_0_0_75_340_200.png,K-043104,쎈비백정 100mg/병,309,train
C:\project_sep\data\single_folder\K-043383_0_0_1_2_90_200_200.png,K-043383,리리카캡슐 25mg,332,train
C:\project_sep\data\single_folder\K-042831_0_1_0_2_70_340_200.png,K-042831,가스모틴에스알정(모사프리드시트르산염수화물),297,train
C:\project_sep\data\single_folder\K-044448_0_2_1_2_70_220_200.png,K-044448,이브원큐연질캡슐 200mg/PTP,418,train
C:\project_sep\data\single_folder\K-043273_0_2_0_2_90_280_200.png,K-043273,벤포바이타액티브정 100mg/병,319,train
C:\project_sep\data\single_folder\K-040332_0_0_1_2_70_100_200.png,K-040332,투베로정60/10밀리그램,78,train
C:\project_sep\data\single_folder\K-043847_0_2_0_2_90_180_200.png,K-043847,레일론정,368,train
C:\project_sep\data\single_folder\K-040677_0_2_1_2_70_200_200.png,K-040677,투와이스플러스연질캡슐 500mg/PTP,97,train
C:\project_sep\data\single_folder\K-043887_0_0_1_2_75_180_200.png,K-043887,피타론정,371,train
C:\project_sep\data\single_folder\K-043103_0_2_0_1_75_160_200.png,K-043103,메가비텐정 103.1mg/병,308,train
C:\project_sep\data\single_folder\K-040811_0_2_0_1_90_080_200.png,K-040811,프로부틴정,105,train
C:\project_sep\data\single_folder\K-041305_0_0_0_1_90_320_200.png,K-041305,원기쏘플러스정 20mg/병,147,train
C:\project_sep\data\single_folder\K-044498_0_0_0_1_60_200_200.png,K-044498,투게논정 5/16mg,424,train
C:\project_sep\data\single_folder\K-045101_0_2_0_2_75_340_200.png,K-045101,훼럼포유연질캡슐 357mg/PTP,482,train
C:\project_sep\data\single_folder\K-045136_0_2_1_2_75_320_200.png,K-045136,세비테라에이치씨티정 5/40/12.5mg,484,train
C:\project_sep\data\single_folder\K-043292_0_0_1_2_75_140_200.png,K-043292,가바메드캡슐 150mg,323,train
C:\project_sep\data\single_folder\K-041767_0_1_0_1_70_320_200.png,K-041767,카발린캡슐 50mg,193,train
C:\project_sep\data\single_folder\K-044260_0_2_1_2_90_080_200.png,K-044260,이지엔6에이스연질캡슐 325mg,400,train
C:\project_sep\data\single_folder\K-039633_0_2_1_1_90_040_200.png,K-039633,알러엔연질캡슐 10mg/PTP,34,train
C:\project_sep\data\single_folder\K-041074_0_2_1_0_90_000_200.png,K-041074,세다큐코프연질캡슐 180mg/PTP,117,train
C:\project_sep\data\single_folder\K-043277_0_0_0_2_90_180_200.png,K-043277,로수반정 20mg,320,train
C:\project_sep\data\single_folder\K-040340_0_2_1_1_90_280_200.png,K-040340,빔스크정 150mg,79,train
C:\project_sep\data\single_folder\K-040854_0_2_0_1_70_200_200.png,K-040854,크램스탑연질캡슐 500mg/PTP,111,train
C:\project_sep\data\single_folder\K-043113_0_0_1_0_70_140_200.png,K-043113,치스민캡슐 300mg/PTP,311,train
C:\project_sep\data\single_folder\K-044334_0_1_0_0_75_260_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-039362_0_0_1_2_90_240_200.png,K-039362,아사톱장용정 100mg,20,train
C:\project_sep\data\single_folder\K-044699_0_0_1_2_75_300_200.png,K-044699,유니안트디정,447,train
C:\project_sep\data\single_folder\K-044639_0_0_0_1_90_100_200.png,K-044639,비너스정 20mg,442,train
C:\project_sep\data\single_folder\K-041118_0_0_0_2_90_340_200.png,K-041118,솔페신정 5mg,127,train
C:\project_sep\data\single_folder\K-041617_0_0_1_1_75_320_200.png,K-041617,아르닉정 200mg/병,179,train
